Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Chiều ngang,Chiều dài,Hướng cửa chính,Số phòng ngủ,Số phòng tắm,Số tầng,Diện tích đất công nhận,Diện tích sử dụng,Đường trước nhà,Nội thất,Giấy tờ pháp lý
GNKC52,"331/51/62 Phan Huy Ích, P.14, Q.Gò Vấp, TP.HCM",3980000.0,149.62,Nhà hẻm,3.77m,7.16m,Bắc,2.0,2.0,2.0,26.60m²,50.20m²,4m,,
8SD7R3,"591/8/2 Bình Thới, P.10, Q.11, TP.HCM",11500000.0,205.35,Nhà hẻm,6.6m,15.6m,Đông Nam,10.0,10.0,4.0,56m²,176.50m²,3m,,
RGYZAJ,"480/62/8 Nguyễn Tri Phương, P.9, Q.10, TP.HCM",4250000.0,168.65,Nhà hẻm,3.91m,8.57m,Nam,4.0,2.0,3.0,25.20m²,69m²,1.49m,,Sổ riêng
UYE0PS,"356/12 Gò Dầu, P.Tân Quý, Q.Tân Phú, TP.HCM",7800000.0,92.85,Nhà hẻm,5m,16.8m,Tây Nam,4.0,6.0,4.0,84m²,295.20m²,3.5m,,
GXXNS2,"352/42 Gò Dầu, P.Tân Sơn Nhì, Q.Tân Phú, TP.HCM",6250000.0,112.2,Nhà hẻm,4m,14m,Tây Nam,3.0,2.0,2.0,55.70m²,80.20m²,3m,,
7KHSVA,"125/227/6G Nguyễn Thị Tần, P.Rạch Ông, Q.8, TP.HCM",5780000.0,155.37,Nhà hẻm,3.77m,10m,Tây Bắc,4.0,3.0,4.0,37.20m²,,,,
1U3GN6,"181b/37 Âu Dương Lân, P.Rạch Ông, Q.8, TP.HCM",5800000.0,136.79,Nhà hẻm,3.82m,11.05m,Bắc,2.0,2.0,2.0,42.40m²,,,,
1Q15K6,"231/108 Lưu Hữu Phước, P.15, Q.8, TP.HCM",2470000.0,83.16,Nhà hẻm,3.31m,8.45m,Nam,2.0,2.0,2.0,29.70m²,,,,
9Z711P,"20K Đường Nguyễn Duy, P.14, Q.8, TP.HCM",4980000.0,73.34,Nhà hẻm,3.88m,18.62m,Bắc,4.0,3.0,2.0,67.90m²,100.20m²,1.5m,,
GN3V82,"44/26 Sư Vạn Hạnh, P.9, Q.5, TP.HCM",3750000.0,192.3,Nhà hẻm,3.67m,6.45m,Tây,2.0,3.0,3.0,19.50m²,27.80m²,1.5m,,
SDTGT5,"9/21/19/10 Thạnh Xuân 24, P.Thạnh Xuân, Q.12, TP.HCM",5700000.0,113.77,Nhà hẻm,4.5m,11.16m,Đông Bắc,4.0,4.0,5.0,50.10m²,213.30m²,8m,,
1UK3X6,"164/3/15 Bùi Quang Là, P.12, Q.Gò Vấp, TP.HCM",4950000.0,188.21,Nhà hẻm,3m,9.2m,Tây Nam,4.0,3.0,4.0,26.30m²,95.80m²,3m,,
KFWAQC,"240/23/8 Hiệp Thành 13, P.Hiệp Thành, Q.12, TP.HCM",5490000.0,93.84,Nhà hẻm,4.01m,14.03m,Nam,4.0,3.0,4.0,58.50m²,174.20m²,5.5m,,
85U2Y3,"631/23 Lê Đức Thọ, P.16, Q.Gò Vấp, TP.HCM",10000000.0,98.03,Nhà hẻm,4.1m,24.4m,Tây Bắc,1.0,1.0,1.0,102m²,91m²,,,
37UY7Q,"154/54/23 Âu Dương Lân, P.Rạch Ông, Q.8, TP.HCM",5780000.0,226.66,Nhà hẻm,3.08m,8.69m,Đông,3.0,4.0,5.0,25.50m²,93.40m²,3m,,
6QNT28,"2/29 Cao Thắng, P.5, Q.3, TP.HCM",76000000.0,329.48,Nhà hẻm,12.85m,17.95m,Đông Bắc,1.0,1.0,2.0,230.66m²,,5m,,
UA9XAS,"99/13 đường số 2, P.16, Q.Gò Vấp, TP.HCM",4300000.0,124.27,Nhà hẻm,3.25m,12.57m,Tây Bắc,2.0,2.0,2.0,34.60m²,69.10m²,2m,,
9Z755P,"58/10 đường số 14, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM",3750000.0,130.2,Nhà hẻm,3.54m,8.18m,Bắc,2.0,2.0,2.0,28.80m²,57.60m²,4m,,
DBTDVH,"114/1 Huỳnh Tấn Phát, Xã Phú Xuân, H.Nhà Bè, TP.HCM",6100000.0,55.55,Nhà hẻm,3.17m,29.07m,Đông Nam,2.0,1.0,1.0,109.80m²,50.50m²,9m,,
6UC5N8,"208/29 đường số 5, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",8199999.999999999,152.7,Nhà hẻm,4m,13.4m,Tây Bắc,5.0,4.0,4.0,53.70m²,206.20m²,5m,,
6SZTX8,"331/18/4 Trần Thị Năm, P.Trung Mỹ Tây, Q.12, TP.HCM",7500000.0,129.31,Nhà hẻm,4.47m,13m,Tây Nam,6.0,5.0,5.0,58m²,234.50m²,5m,,
40VEYF,"52/15/14 Nguyễn Sỹ Sách, P.15, Q.Tân Bình, TP.HCM",6000000.0,89.75,Nhà hẻm,5.35m,14.5m,Tây Bắc,2.0,1.0,1.0,66.85m²,41.97m²,,,
7KE8FA,"560/6 Trường Chinh, P.13, Q.Tân Bình, TP.HCM",10500000.0,153.95,Nhà hẻm,5.27m,12.15m,Đông Nam,1.0,1.0,1.0,68.20m²,76.90m²,,,
857MH3,"184/20/14/1 Bùi Văn Ngữ, P.Hiệp Thành, Q.12, TP.HCM",3680000.0,98.39,Nhà hẻm,4m,9.34m,Đông Nam,2.0,2.0,2.0,37.40m²,74.80m²,2.1m,,
020WV9,"28/9 Âu Dương Lân, P.Rạch Ông, Q.8, TP.HCM",6700000.0,136.45,Nhà hẻm,3.46m,14.09m,Tây Bắc,2.0,2.0,2.0,49.10m²,62.50m²,4m,,
ABHXUY,"80/4/23 Tân Hòa Đông, P.14, Q.6, TP.HCM",9500000.0,61.29,Nhà hẻm,8.55m,18.4m,Đông,2.0,2.0,2.0,155m²,222.20m²,3.8m,,
5KYGG7,"Nguyễn Văn Đậu, P.11, Q.Bình Thạnh, TP.HCM",5950000.0,140.99,Nhà hẻm,5.18m,9.4m,Tây Nam,3.0,3.0,2.0,42.20m²,,1.66m,,
RGUMFJ,"67/2/88 đường số 6, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",7000000.0,132.57,Nhà hẻm,4.17m,9.76m,Bắc,2.0,2.0,4.0,52.80m²,166.40m²,,,Sổ riêng
QAJEYU,"202/21 Trần Thị Hè, P.Tân Thới Hiệp, Q.12, TP.HCM",9900000.0,99.09,Nhà hẻm,5m,19.25m,Đông Bắc,13.0,13.0,4.0,99.90m²,312.40m²,10m,,
37ETBQ,"384/71bis Lý Thái Tổ, P.10, Q.10, TP.HCM",15200000.0,144.76,Nhà hẻm,5m,20.02m,Đông Bắc,2.0,2.0,2.0,105m²,142.07m²,,,
1UACH6,"Thạnh Lộc 16, P.An Phú Đông, Q.12, TP.HCM",6600000.0,118.49,Nhà hẻm,4m,14.02m,Đông Bắc,4.0,5.0,5.0,55.70m²,219.90m²,6m,,
SDDYX5,"339/25A Lê Văn Sỹ, P.15, Q.Gò Vấp, TP.HCM",33000000.0,359.47,Nhà hẻm,6.84m,15.08m,Tây,8.0,9.0,6.0,91.80m²,437.20m²,5.15m,,Sổ riêng
40WY4F,"5/122/21A Nơ Trang Long, P.7, Q.Bình Thạnh, TP.HCM",3990000.0,212.23,Nhà hẻm,2.99m,6.14m,Nam,2.0,2.0,2.0,18.80m²,35.80m²,2.21m,,
AHSH9Y,"25/4B Cửu Long, P.2, Q.Tân Bình, TP.HCM",18900000.0,287.23,Nhà hẻm,4.55m,13m,Tây,8.0,8.0,5.0,65.80m²,300m²,4m,,
JPUA80,"32/21 Đất Thánh, P.06, Q.Tân Bình, TP.HCM",7300000.0,228.12,Nhà hẻm,4m,8m,Tây Nam,2.0,2.0,3.0,32m²,32m²,,,
PNA9JG,"994A/77 Huỳnh Tấn Phát, P.Tân Phú, Q.7, TP.HCM",3650000.0,86.9,Nhà hẻm,6m,7m,Đông,2.0,1.0,2.0,42m²,,2.1m,,
7HSFEA,"282/38/9 Bùi Hữu Nghĩa, P.2, Q.Bình Thạnh, TP.HCM",1870000.0,176.41,Nhà hẻm,2.52m,4.55m,Đông Nam,1.0,1.0,2.0,10.60m²,7.10m²,2.18m,,
6UW428,"840/18/1B Hương Lộ 2, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM",6680000.0,128.46,Nhà hẻm,4m,13m,Nam,4.0,3.0,4.0,52m²,161.18m²,5m,,
Q7J8TU,"332/86 Phan Văn Trị, P.11, Q.Bình Thạnh, TP.HCM",5000000.0,180.5,Nhà hẻm,3.92m,7.17m,Đông Nam,2.0,1.0,2.0,27.70m²,41.30m²,2m,,
PNXH0G,"163/25/12 Tô Hiến Thành, P.13, Q.10, TP.HCM",12200000.0,211.07,Nhà hẻm,2.92m,19.74m,Tây Bắc,8.0,8.0,5.0,57.80m²,226.10m²,,,
SYHHV5,"2/173A Tân Lập, Xã Tân Thới Nhì, H.Hóc Môn, TP.HCM",9500000.0,52.8,Nhà hẻm,5.03m,45.19m,Đông,3.0,2.0,1.0,179.90m²,110.50m²,16m,,
WP8KBR,"35/15 Nghĩa Phát, P.6, Q.Tân Bình, TP.HCM",6700000.0,132.93,Nhà hẻm,4m,12.6m,Tây Nam,2.0,2.0,2.0,50.40m²,78.20m²,,,
37D1JQ,"26/4 Nguyễn Thị Căn, P.Tân Thới Hiệp, Q.12, TP.HCM",3480000.0,111.53,Nhà hẻm,3.87m,8.01m,Bắc,2.0,2.0,2.0,31.20m²,62.30m²,2m,,
5HYKH7,"383/38 Quang Trung, P.10, Q.Gò Vấp, TP.HCM",10400000.0,142.66,Nhà hẻm,4.43m,17.65m,Đông Nam,2.0,1.0,1.0,72.90m²,72.90m²,5.11m,,
Q13BUQ,"Đặng Minh Trứ, P.10, Q.Tân Bình, TP.HCM",4200000.0,121.38,Nhà hẻm,2.75m,13m,,1.0,1.0,2.0,34.60m²,45.60m²,2.5m,,
SDNEF5,"126/15 đường số 28, P.6, Q.Gò Vấp, TP.HCM",6900000.0,107.81,Nhà hẻm,5m,12.8m,Tây Nam,3.0,3.0,3.0,64m²,,10m,,
6UCVK8,"95/44 Đinh Tiên Hoàng, P.1, Q.Bình Thạnh, TP.HCM",9500000.0,265.36,Nhà hẻm,3.55m,9.45m,Tây Bắc,2.0,2.0,2.0,35.80m²,55.50m²,4m,,
3HYHAQ,"12/12B hoàng diệu, P.10, Q.Phú Nhuận, TP.HCM",4800000.0,133.33,Nhà hẻm,3m,12m,Tây Bắc,2.0,3.0,2.0,36m²,36m²,3m,Đầy đủ,
RNPDEJ,"507/13 Chiến Lược, P.Tân Tạo, Q.Bình Tân, TP.HCM",3150000.0,97.22,Nhà hẻm,4m,8.07m,Tây,2.0,2.0,2.0,32.40m²,64.80m²,5m,,
AB4PZY,"86/25 Âu Cơ, P.9, Q.Tân Bình, TP.HCM",9900000.0,155.9,Nhà hẻm,6.2m,11.65m,Đông,3.0,3.0,3.0,63.50m²,137.60m²,,,
EJAA14,"672/5/18 Thống Nhất, P.16, Q.Gò Vấp, TP.HCM",6680000.0,176.25,Nhà hẻm,4.6m,9.27m,Tây Bắc,4.0,4.0,3.0,37.90m²,119.70m²,,,
ACXBQY,"7/12 Chấn Hưng, P.6, Q.Tân Bình, TP.HCM",7500000.0,154.95,Nhà hẻm,3.9m,12.75m,Tây Nam,4.0,5.0,3.0,48.40m²,,5m,,
J2SWK0,"745/111 Quang Trung, P.12, Q.Gò Vấp, TP.HCM",15500000.0,155.0,Nhà hẻm,5m,20m,Tây,5.0,5.0,5.0,100m²,234.50m²,,,
DER7UH,"232/7G Nguyễn văn Luông, P.11, Q.6, TP.HCM",5300000.0,117.51,Nhà hẻm,4.05m,11m,Tây Nam,4.0,4.0,3.0,45.10m²,116.40m²,3m,,
SDCVE5,"913/15 Hà Huy Giáp, P.Thạnh Xuân, Q.12, TP.HCM",4350000.0,64.63,Nhà hẻm,6.18m,11.62m,Bắc,2.0,2.0,2.0,67.30m²,80.40m²,5m,,
GXVYF2,"616/22 Lê Đức Thọ, P.15, Q.Gò Vấp, TP.HCM",21000000.0,157.77,Nhà hẻm,3.9m,26m,Tây Bắc,23.0,23.0,7.0,133.10m²,688.70m²,10m,,
375H7Q,"208/4 Thạnh Lộc 27, P.An Phú Đông, Q.12, TP.HCM",6900000.0,111.83,Nhà hẻm,4m,15.44m,Tây Bắc,6.0,5.0,5.0,61.70m²,218.20m²,,,
5DTMK7,"79/9/15 Thới An 20, P.Thới An, Q.12, TP.HCM",6900000.0,121.26,Nhà hẻm,4m,14.48m,Bắc,4.0,4.0,4.0,56.90m²,198.10m²,7m,Đầy đủ,Sổ riêng
1Q5TZ6,"59/2 Hoa Sữa, P.7, Q.Phú Nhuận, TP.HCM",7970000.0,355.8,Nhà hẻm,3.2m,7m,Nam,3.0,4.0,4.0,22.40m²,76.50m²,6m,,
6SAZ08,"28/43 + 28H/9 Dương Bá Trạc, P.Rạch Ông, Q.8, TP.HCM",16900000.0,138.52,Nhà hẻm,3.89m,21.47m,Tây Bắc,20.0,20.0,5.0,122m²,,8m,,
DEB0PH,"92/6 Nguyễn Sơn, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",12700000.0,140.48,Nhà hẻm,5.15m,17.6m,Tây Bắc,13.0,13.0,4.0,90.40m²,263.20m²,,,
J24QR0,"8/26 đường số 16, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",6000000.0,80.0,Nhà hẻm,4.08m,18.52m,Đông Nam,1.0,1.0,1.0,75m²,75m²,5m,,
KF947C,"554/17/4 Nguyễn Bình, Xã Phú Xuân, H.Nhà Bè, TP.HCM",1590000.0,9.81,Nhà hẻm,5.78m,19.95m,Tây,3.0,2.0,3.0,162m²,210.20m²,,,
9TX98P,"28/4 đường số 15, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",4450000.0,111.25,Nhà hẻm,4m,10m,Tây Bắc,1.0,1.0,1.0,40m²,40m²,,,
7H66QA,"Đường Trần Thị Do, P.Hiệp Thành, Q.12, TP.HCM",2950000.0,110.07,Nhà hẻm,4.43m,6.03m,Đông Nam,4.0,3.0,3.0,26.80m²,,4.35m,,
UCDKPS,"205/48/41T ấp 5, Xã Đông Thạnh, H.Hóc Môn, TP.HCM",4200000.0,68.85,Nhà hẻm,4m,17m,Đông Bắc,1.0,1.0,1.0,61m²,53.20m²,4m,,
PNQX1G,"362/62A Phan Huy Ích, P.12, Q.Gò Vấp, TP.HCM",7960000.0,123.34,Nhà hẻm,5m,12.84m,Tây Bắc,4.0,5.0,4.0,64.60m²,169.30m²,,,
CW082B,"280/126/9 Bùi Hữu Nghĩa, P.2, Q.Bình Thạnh, TP.HCM",6200000.0,144.85,Nhà hẻm,5.35m,8.62m,Tây Bắc,2.0,2.0,2.0,42.80m²,86m²,3.3m,,
7H7MZA,"26/6/13 đường số 13A, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM",3500000.0,79.54,Nhà hẻm,4m,11m,Đông,2.0,2.0,2.0,44m²,44m²,1.89m,,
AKAK0Y,"129/2 Lê Thiệt, P.Phú Thọ Hòa, Q.Tân Phú, TP.HCM",3800000.0,137.23,Nhà hẻm,3.9m,7.1m,Tây Nam,3.0,2.0,2.0,27.69m²,55.38m²,2.1m,,
C4H5SB,"84/42A Bùi Quang Là, P.12, Q.Gò Vấp, TP.HCM",4250000.0,156.78,Nhà hẻm,4.3m,6.1m,Đông Bắc,2.0,2.0,2.0,20.30m²,40.60m²,5m,,
6UBA08,"Đường Tỉnh Lộ 10, P.Tân Tạo, Q.Bình Tân, TP.HCM",2670000.0,101.44,Nhà hẻm,6.27m,6.96m,Đông,2.0,2.0,2.0,26.32m²,47.20m²,2.5m,,Sổ riêng
5DWKQ7,"1/14 Đường Nguyễn Hữu Tiến, P.Tây Thạnh, Q.Tân Phú, TP.HCM",5200000.0,96.47,Nhà hẻm,3m,18.2m,Nam,3.0,2.0,2.0,53.90m²,,3.4m,,
YK5MGD,"763/5/4/29 Trường Chinh, P.Tây Thạnh, Q.Tân Phú, TP.HCM",5800000.0,96.82,Nhà hẻm,4m,14.93m,Bắc,3.0,3.0,2.0,59.90m²,103.40m²,2.5m,,
382RQ3,"Đường Phan Văn Hân, P.17, Q.Bình Thạnh, TP.HCM",9960000.0,162.21,Nhà hẻm,6.2m,11.85m,Đông Bắc,8.0,8.0,3.0,61.40m²,159.10m²,,,
375ZWQ,"20/50/16 Thạnh Xuân 24, khu phố 7, P.Thạnh Xuân, Q.12, TP.HCM",5450000.0,103.8,Nhà hẻm,4m,13.13m,Đông Bắc,3.0,4.0,3.0,52.50m²,127.90m²,7m,,
