Ma_BDS,Dia_chi,Tong_gia (trieu),Tien_m2 (trieu/m2),Loại hình,Địa chỉ chi tiết,Hướng ban công,Số phòng ngủ,Số phòng tắm,Diện tích tim tường,Diện tích sử dụng,Nội thất,Tên dự án / tòa nhà,Tình trạng sử dụng
W0DTWR,"Số 49 Đường Số 45, P.14, Q.Gò Vấp, TP.HCM",4200000.0,34.22,Căn hộ chung cư,Tầng trệt - Liên Kế 37,,2.0,2.0,122.70m²,122.70m²,Cơ bản,Chung cư Khang Gia,Đang ở
EW5SX4,"Chung cư 78 Tân Hòa Đông - Lô A, P.14, Q.6, TP.HCM",2049999.9999999998,0.03,Căn hộ chung cư,Căn hộ Chung cư số 4.04 tầng 5,,2.0,1.0,62.90m²,,,Lô A Chung cư 78 Tân Hòa Đông,
5CVET7,"Căn hộ số 10.01, Block A Moonlight Park View, đường số 7, P.An Lạc A, Q.Bình Tân, TP.HCM",4750000.0,62.74,Căn hộ chung cư,,,3.0,2.0,75.70m²,,,Moonlight Park View,
QDK7HU,"Căn hộ G3.03 Chung cư Happy Valley, đường Nguyễn Văn Linh, P.Tân Phong, Q.7, TP.HCM",14000000.0,120.68,Căn hộ chung cư,G3.03,,2.0,2.0,116m²,110m²,,Happy Valley  (GĐ1),
5YBPE7,"Căn 13.16 Chung cư Thái An 2, P.Đông Hưng Thuận, Q.12, TP.HCM",3700000.0,50.59,Căn hộ chung cư,13.16,,2.0,2.0,73.13m²,,,Chưng cư Thới An 2,Đang cho thuê
7965A8,"Căn 2.4 - Tầng 3 Chung cư 482A Nơ Trang Long, P.13, Q.Bình Thạnh, TP.HCM",3100000.0,62.0,Căn hộ chung cư,Tầng 3 - Căn 2.4,,2.0,1.0,50m²,,Cơ bản,Chung cư 482A Nơ Trang Long,Đang ở
AK08MY,"Căn hộ BS929.09, 512 Đường Nguyễn Xiển, Long Thạnh Mỹ, Q.9, TP.HCM",3900000.0,65.0,Căn hộ chung cư,BS929.09,,2.0,2.0,58.90m²,,Đầy đủ,The Beverly Solari - Vinhomes Grand Park,Đang cho thuê
EWVCK4,"Căn 348 (Lầu 3) Chung cư Hào Huê, P.7, Q.5, TP.HCM",3200000.0,54.41,Căn hộ chung cư,348 (Lầu 3),,2.0,1.0,58.81m²,,,Chung cư Hào Huê,
4P2J9F,"Căn hộ 17.06 Chung cư Scenic Valley 1, đường Tôn Dật Tiên, P.Tân Phú, Q.7, TP.HCM",8500000.0,95.72,Căn hộ chung cư,17.06,,2.0,2.0,88.80m²,83.40m²,,Scenic Valley,
65K6F8,"Chung cư Khang Gia, số 59 Hồ Thành Biên, P.4, Q.8, TP.HCM",1900000.0,31.66,Căn hộ chung cư,10.07,Tây Nam,2.0,1.0,60m²,56m²,Cơ bản,Chung cư Khang Gia,Nhà trống
C415FB,"Căn hộ 0.29 - Chung cư Bàu Cát 2, 10, Q.Tân Bình, TP.HCM",6500000.0,90.27,Căn hộ chung cư,0.29,,2.0,2.0,68m²,,,Chung Cư Bàu Cát 2,
5Y2JQ7,"Căn 1.8 Chung cư 275 Lê Văn Sỹ, P.1, Q.Tân Bình, TP.HCM",14500000.0,213.23,Căn hộ chung cư,1.8,,1.0,1.0,68m²,,,Chung cư 279 Lê Văn Sỹ,
