ma_bds,address,total_price,price_per_m2,loại hình,chiều ngang,chiều dài,hướng cửa chính,số phòng ngủ,số phòng tắm,số tầng,diện tích đất công nhận,diện tích sử dụng,đường trước nhà,property_type,area_calculated,latitude,longitude,center_distance_km,địa chỉ chi tiết,diện tích tim tường,nội thất,tên dự án / tòa nhà,tình trạng sử dụng
0ZGRM9,"Thửa 852 - tờ 10 Nguyễn Kim Cương, Xã Tân Thạnh Đông, H.Củ Chi, TP.HCM",2100000.0,21.85,Đất,5m,19.28m,Đông Nam,,,,,,,land,96109.83981693363,11.012559884000206,106.48852717658731,34.533619723890496,,,,,
DECQ5H,"Thửa 713 - tờ 141 Tỉnh Lộ 7, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",1250000.0,8.14,Đất,5m,32m,Đông Bắc,,,,,,,land,153562.65356265355,11.001420375573057,106.51398747895533,31.785003436848008,,,,,
7KD60A,"Thửa 916 - tờ 10 Tỉnh Lộ 7, Xã Trung Lập Hạ, H.Củ Chi, TP.HCM",1650000.0,9.92,Đất,8.5m,19.97m,Đông Bắc,,,,,,,land,166330.64516129033,11.00794860798427,106.51709244016963,32.133889580353966,,,,,
2MNWQZ,"Thửa 743 - tờ 5 Ba Sa, Xã Phước Hiệp, H.Củ Chi, TP.HCM",2800000.0,18.25,Đất,5.55m,27.58m,Bắc,,,,,,,land,153424.65753424657,10.992309242967558,106.49526431828095,32.386907495530124,,,,,
0ZGB29,"Thửa 806 - tờ 88 Liêu Bình Hương, TT.Củ Chi, H.Củ Chi, TP.HCM",5600000.0,17.61,Đất,10.01m,31.93m,Tây Nam,,,,,,,land,318001.13571834186,11.006810288330282,106.50588437017821,32.80998285561109,,,,,
6SQ228,"Thửa 10 - tờ 70 Nguyễn Phong Sắc, TT.Củ Chi, H.Củ Chi, TP.HCM",5300000.0,19.11,Đất,6.23m,37.73m,Đông Bắc,,,,,,,land,277341.7059131345,11.003082353644334,106.50993293431118,32.20967588617697,,,,,
6SQGG8,"Thửa 593 - tờ 46 Nguyễn Văn Khạ, Xã Phú Hòa Đông, H.Củ Chi, TP.HCM",4200000.0,9.12,Đất,9m,51.21m,Đông Nam,,,,,,,land,460526.3157894737,11.020509424533557,106.49481219109244,34.74853054322681,,,,,
SDAXJ5,"Thửa 804 - tờ 82 Phạm Văn Cội, Xã Nhuận Đức, H.Củ Chi, TP.HCM",1390000.0,10.95,Đất,6m,21.18m,Tây Bắc,,,,,,,land,126940.6392694064,11.01866470255091,106.49533192800195,34.55581503165756,,,,,
37S2WQ,"Thửa 543 - tờ 22 Nguyễn Thị Rành, Xã Phú Mỹ Hưng, H.Củ Chi, TP.HCM",3500000.0,2.92,Đất,15m,82.19m,Đông Bắc,,,,,,,land,1198630.1369863015,11.020161610347065,106.48986465298249,35.069322807385646,,,,,
ACHXQY,"Thửa 52  - tờ 59 ( tờ cũ 29 ) Võ Thị Du, Xã Tân Thông Hội, H.Củ Chi, TP.HCM",3500000.0,11.83,Đất,9.57m,23.1m,Tây Bắc,,,,,,,land,295857.9881656805,11.004695618758314,106.5075338109162,32.514945064206145,,,,,
85UYZ3,"Nơ Trang Long, P.13, Q.Bình Thạnh, TP.HCM",9500000.0,158.33,Đất,5m,12m,Tây Bắc,,,,,,,land,60001.26318448809,10.796037696227566,106.69681912103025,1.8139206325903845,,,,,
