address,total_price,price_per_m2,area_calculated,latitude,longitude,center_distance_km
"Thửa 858 - Tờ 13 Thạnh Lộc 41, P.Thạnh Lộc, Q.12, TP.HCM",4200000.0,51.72,81206.49651972158,10.774768499299398,106.6929656235991,0.8645916867901982
"An Phú Đông 9, P.An Phú Đông, Q.12, TP.HCM",70000000.0,79.83,876863.3345859953,10.766362641452995,106.69732326603018,1.4963496704914203
"3 Hẻm, P.17, Q.Gò Vấp, TP.HCM",8700000.0,76.65,113502.93542074363,10.831434675518747,106.66913327577525,6.582396233168447
"21E Đặng Công Bỉnh, Xã Xuân Thới Sơn, H.Hóc Môn, TP.HCM",20000000.0,22.82,876424.1893076248,10.87206473607767,106.60079954115639,14.817834638828748
"Thửa 594 - tờ 5 Sông Lu, Xã Hòa Phú, H.Củ Chi, TP.HCM",4500000.0,26.96,166913.9465875371,11.017934428713994,106.49336236796303,34.63350259579254
"23 Xóm Ga, Dĩ An, Dĩ An, TP.HCM",4099999.999999999,41.0,99999.99999999997,10.737771630226028,106.69367889931753,4.6839071918375
"Thửa 634 - tờ 196 Ba Sa, Xã Tân An Hội, H.Củ Chi, TP.HCM",2350000.0,22.08,106431.15942028987,10.994452923429142,106.49225962373305,32.78501357106385
"Thửa 1647 - tờ 9 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",5500000.0,31.95,172143.97496087637,10.774507146976182,106.69522967698305,0.7165154328002397
"Lê Hồng Phong, Tân Bình, Dĩ An, TP.HCM",3200000.0,45.71,70006.56311529205,10.811174215552324,106.65094776242921,6.301069326148771
"Thửa 880 - Tờ 11 Thạnh Lộc 39, P.Thạnh Lộc, Q.12, TP.HCM",5450000.0,59.69,91305.07622717373,10.774715163247912,106.7125713653267,1.5838254343029432
"Trần Quốc Hoàn, P.13, Q.Tân Bình, TP.HCM",23000000.0,209.09,110000.47826294896,10.809567767537892,106.63962737688321,7.283782010873147
"Thửa 916 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",3550000.0,57.53,61706.93551190683,10.78261029995858,106.70139176734142,0.4055833927989936
"Thửa 915 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",3550000.0,57.62,61610.55189170427,10.76154120943002,106.69709774656752,2.0290144189389263
"Thửa 914 - tờ 62 Thạnh Xuân 43, P.Thạnh Xuân, Q.12, TP.HCM",3480000.0,56.58,61505.83244962885,10.767530619047783,106.69166094138839,1.5768882783643874
"Thửa 1646 - tờ 9 Thạnh Xuân 52, P.Thạnh Xuân, Q.12, TP.HCM",5500000.0,31.51,174547.76261504283,10.77005147414992,106.702853638277,1.1550985591960872
